Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
212;Métro;SAINT-MARCEL;1211679;5;;;;;Paris;13
189;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;1382850;7;;;;;Villejuif;
174;Métro;FRONT POPULAIRE;1525242;12;;;;;Saint Denis / Aubervilliers;
269;Métro;FILLES DU CALVAIRE;784137;8;;;;;Paris;3
213;Métro;CRETEIL-L'ECHAT;1209224;8;;;;;Créteil;
191;Métro;PYRENEES;1364625;11;;;;;Paris;20
175;Métro;VILLEJUIF-LEO LAGRANGE;1500000;7;;;;;Villejuif;
274;Métro;TRINITE-D'ESTIENNE D'ORVES;757661;12;;;;;Paris;9
223;Métro;NOTRE-DAME-DE-LORETTE;1176983;12;;;;;Paris;9
194;Métro;JAVEL-ANDRE CITROEN;1331833;10;;;;;Paris;15
178;Métro;TOLBIAC;1496862;7;;;;;Paris;13
281;Métro;CHEMIN VERT;685924;8;;;;;Paris;11
228;Métro;PORTE DE CHARENTON;1146232;8;;;;;Paris;12
206;Métro;RANELAGH;1234203;9;;;;;Paris;16
179;Métro;PORTE DAUPHINE;1460742;2;;;;;Paris;16
284;Métro;PONT NEUF;605030;7;;;;;Paris;4
236;Métro;EXELMANS;1055609;9;;;;;Paris;16
211;Métro;JACQUES BONSERGENT;1216884;5;;;;;Paris;10
181;Métro;ROME;1435310;2;;;;;Paris;17
290;Métro;KLEBER;513955;6;;;;;Paris;16
240;Métro;EDGAR QUINET;1011168;6;;;;;Paris;14
216;Métro;LE PELETIER;1203233;7;;;;;Paris;9
182;Métro;PORTE DOREE;1428784;8;;;;;Paris;12
294;Métro;ASSEMBLEE NATIONALE;395997;12;;;;;Paris;7
243;Métro;BREGUET-SABIN;1003059;5;;;;;Paris;11
217;Métro;DUGOMMIER;1200589;6;;;;;Paris;12
192;Métro;NATIONALE;1360198;6;;;;;Paris;13
297;Métro;BOLIVAR;278933;7bis;;;;;Paris;19
245;Métro;LA TOUR-MAUBOURG;965136;8;;;;;Paris;7
221;Métro;GUY MOQUET;1191891;13;;;;;Paris;17
198;Métro;MARAICHERS;1316167;9;;;;;Paris;20
298;Métro;DANUBE;266623;7bis;;;;;Paris;19
250;Métro;SOLFERINO;923536;12;;;;;Paris;7
225;Métro;COURCELLES;1168779;2;;;;;Paris;17
203;Métro;ETIENNE MARCEL;1254829;4;;;;;Paris;1
300;Métro;BUTTES-CHAUMONT;242027;7bis;;;;;Paris;19
255;Métro;MAISONS-ALFORT-LES JUILLIOTTES;905627;8;;;;;Maisons -Alfort;
229;Métro;MALESHERBES;1133574;3;;;;;Paris;17
205;Métro;TUILERIES;1239066;1;;;;;Paris;1
302;Métro;PELLEPORT;178325;3bis;;;;;Paris;20
265;Métro;SAINT-SEBASTIEN-FROISSART;816381;8;;;;;Paris;3
232;Métro;VOLONTAIRES;1111705;12;;;;;Paris;15
207;Métro;WAGRAM;1231276;3;;;;;Paris;17
8;RER;NOISY-LE-GRAND-MONT D'EST;4492037;A;;;;;Noisy-le-Grand;
266;Métro;SAINT-FRANCOIS-XAVIER;812792;13;;;;;Paris;7
239;Métro;JASMIN;1017366;9;;;;;Paris;16
209;Métro;LOUIS BLANC;1226441;7;7bis;;;;Paris;10
13;RER;NEUILLY-PLAISANCE;3726798;A;;;;;Neuilly-sur-Seine;
272;Métro;EUROPE;769896;3;;;;;Paris;8
249;Métro;BOISSIERE;925034;6;;;;;Paris;16
210;Métro;RIQUET;1226397;7;;;;;Paris;19
15;RER;NOISY-CHAMPS;3393192;A;;;;;Champs-sur-Marne;
273;Métro;SULLY-MORLAND;767233;7;;;;;Paris;4
253;Métro;MAUBERT-MUTUALITE;913919;10;;;;;Paris;5
214;Métro;GAITE;1205958;13;;;;;Paris;14
19;RER;SAINT-MICHEL-NOTRE-DAME;2716148;B;;;;;Paris;
285;Métro;PICPUS;595063;6;;;;;Paris;12
259;Métro;RASPAIL;867633;4;6;;;;Paris;14
219;Métro;LIBERTE;1195690;8;;;;;Charenton;
23;RER;BOURG-LA-REINE;2409369;B;;;;;Bourg la Reine;
295;Métro;SAINT-FARGEAU;339164;3bis;;;;;Paris;8
262;Métro;CLUNY LA SORBONNE;842980;10;;;;;Paris;5
222;Métro;MICHEL-ANGE-MOLITOR;1180095;9;10;;;;Paris;16
32;RER;ARCUEIL-CACHAN;1900758;B;;;;;Arcueil;
10;RER;CHARLES DE GAULLE-ETOILE-RER;4070214;A;;;;;Paris;17
263;Métro;MABILLON;839743;10;;;;;Paris;6
224;Métro;BEL AIR;1168869;6;;;;;Paris;12
36;RER;LA CROIX DE BERNY;1799762;B;;;;;Antony;
11;RER;AUBER;3956779;A;;;;;Paris;9
277;Métro;TEMPLE;731355;3;;;;;Paris;2
235;Métro;PORTE D'IVRY;1055770;7;;;;;Paris;13
42;RER;ORSAY-VILLE;1383444;B;;;;;Orsay;
14;RER;RUEIL-MALMAISON;3408182;A;;;;;Rueil-Malmaison;
282;Métro;CAMPO-FORMIO;664119;5;;;;;Paris;13
237;Métro;MALAKOFF-RUE ETIENNE DOLET;1054998;13;;;;;Malakoff;
50;RER;LES BACONNETS;1098252;B;;;;;Antony;
20;RER;SAINT-GERMAIN-EN-LAYE;2644464;A;;;;;Saint-Germain-en-Laye;
286;Métro;VARENNE;559530;13;;;;;Paris;7
242;Métro;CHATEAU-LANDON;1009087;7;;;;;Paris;10
52;RER;LE VESINET-CENTRE;760964;A;;;;;Le Vésinet;
22;RER;TORCY;2448031;A;;;;;Torcy;
293;Métro;FALGUIERE;479988;12;;;;;Paris;15
244;Métro;NOTRE-DAME-DES-CHAMPS;996587;12;;;;;Paris;6
53;RER;FONTENAY-AUX-ROSES;665966;B;;;;;Fontenay aux roses;
24;RER;DENFERT-ROCHEREAU-RER;2351759;B;;;;;Paris;14
304;Métro;EGLISE D'AUTEUIL;95182;10;;;;;Paris;16
248;Métro;PHILIPPE AUGUSTE;925913;2;;;;;Paris;11
54;RER;PALAISEAU;518346;B;;;;;Palaiseau;
27;RER;CHAMPIGNY;2209619;A;;;;;Saint-Maur des Fossés;
305;Métro;CLICHY SAINT-OUEN;75809;14;;;;;Saint-ouen;
252;Métro;RUE DU BAC;916367;12;;;;;Paris;7
58;RER;LE GUICHET;389736;B;;;;;Orsay;
29;RER;SAINT-MAUR-CRETEIL;2151064;A;;;;;Saint-Maur des Fossés;
1;RER;GARE DU NORD-RER;25134283;B;;;;;Paris;10
254;Métro;MICHEL BIZOT;910938;8;;;;;Paris;12
63;RER;MASSY-VERRIERES;296614;B;;;;;Massy;
40;RER;SUCY-BONNEUIL;1546784;A;;;;;Sucy-en-Brie;
2;RER;GARE DE LYON-RER;21749596;A;;;;;Paris;12
261;Métro;FUNICULAIRE;843984;2;;;;;Paris;18
45;RER;LE PARC DE SAINT-MAUR;1240624;A;;;;;Saint-Maur des Fossés;
5;RER;NANTERRE-PREFECTURE;13379344;A;;;;;Nanterre;
268;Métro;SEGUR;804110;10;;;;;Paris;15
47;RER;LA VARENNE-CHENNEVIERES;1209310;A;;;;;saint-Maur des Fossés;
9;RER;VINCENNES;4480985;A;;;;;Vincennes;
271;Métro;FELIX FAURE;776924;8;;;;;Paris;15
56;RER;PALAISEAU-VILLEBON;444921;B;;;;;Palaiseau;
16;RER;LUXEMBOURG;2916819;B;;;;;Paris;5
278;Métro;MIRABEAU;724167;10;;;;;Paris;16
60;RER;SCEAUX;358354;B;;;;;sceaux;
17;RER;VAL D'EUROPE;2816459;A;;;;;Serris;
279;Métro;PONT MARIE;721712;7;;;;;Paris;4
65;RER;COURCELLE-SUR-YVETTE;280118;B;;;;;Gif sur Yvette;
21;RER;NATION-RER;2636667;A;;;;;Paris;12
283;Métro;PORTE DE CHOISY;647656;7;;;;;Paris;13
31;RER;LAPLACE;1943309;B;;;;;Arcueil;
288;Métro;VANEAU;524526;10;;;;;Paris;7
33;RER;BUSSY-SAINT-GEORGES;1897477;A;;;;;Bussy-Saint-Georges;
291;Métro;BOTZARIS;511339;7bis;;;;;Paris;19
37;RER;BOISSY-SAINT-LEGER;1791386;A;;;;;Boissy-Saint-Léger;
292;Métro;RENNES;506779;12;;;;;Paris;6
41;RER;BRY-SUR-MARNE;1458444;A;;;;;Bry-sur-Marne;
299;Métro;PORTE D'AUTEUIL;262784;10;;;;;Paris;16
43;RER;BAGNEUX;1323158;B;;;;;Cachan;
301;Métro;PRE-SAINT-GERVAIS;226935;7bis;;;;;Paris;19
55;RER;SAINT-REMY-LES-CHEVREUSE;446253;B;;;;;St-Rémy-Lès-Chevreuse;
12;RER;CITE UNIVERSITAIRE;3853590;B;;;;;Paris;14
59;RER;LOZERE;371808;B;;;;;Palaiseau;
25;RER;NANTERRE-VILLE;2318006;A;;;;;Nanterre;
66;RER;LA HACQUINIERE;213256;B;;;;;Bures sur Yvette;
28;RER;MARNE-LA-VALLEE-CHESSY;2192200;A;;;;;Montévrain;
44;RER;GENTILLY;1248514;B;;;;;Gentilly;
48;RER;ROBINSON;1160290;B;;;;;Sceaux;
51;RER;LOGNES;944270;A;;;;;Lognes;
61;RER;BURES-SUR-YVETTE;333714;B;;;;;Bures sur Yvette;
